HuggingFaceH4/zephyr-7b-gemma-v0.1,,,,,,,,,
Question,,1,2,3,4,5,6,7,
,,Zero-shot,Few-shot,COT,COT+,Few-shot+,Zero-shot+,Zero-shot-,
1,,1,0,1,1,0,1,0,
2,,1,1,1,1,1,1,1,
3,,0,0,0,1,0,0,0,
4,,1,1,1,1,1,1,1,
5,,1,0,1,1,1,1,1,
6,,1,0,1,1,1,1,1,
7,,1,0,1,1,1,1,0,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Solve rate,,0.857142857142857,0.285714285714286,0.857142857142857,1,0.714285714285714,0.857142857142857,0.571428571428571,0.73469387755102
,,2,5,2,1,3,2,4,
,,,,,,,,,
HuggingFaceH4/zephyr-7b-gemma-sft-v0.1,,,,,,,,,
Question,,1,2,3,4,5,6,7,
,,Zero-shot,Few-shot,COT,COT+,Few-shot+,Zero-shot+,Zero-shot-,
1,,1,0,0,1,0,0,0,
2,,1,1,1,1,1,1,0,
3,,0,0,0,0,0,0,1,
4,,1,0,1,0,1,1,1,
5,,1,0,1,1,1,1,0,
6,,1,1,1,1,1,1,0,
7,,1,1,1,0,1,1,0,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Solve rate,,0.857142857142857,0.428571428571429,0.714285714285714,0.571428571428571,0.714285714285714,0.714285714285714,0.285714285714286,0.612244897959184
,,1,4,2,3,2,2,5,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
SakanaAI/DiscoPOP-zephyr-7b-gemma,,,,,,,,,
Question,,1,2,3,4,5,6,7,
,,Zero-shot,Few-shot,COT,COT+,Few-shot+,Zero-shot+,Zero-shot-,
1,,1,1,1,1,1,0,0,
2,,1,1,1,1,1,1,1,
3,,0,0,0,0,0,0,0,
4,,0,1,0,1,1,0,0,
5,,0,0,1,1,1,1,0,
6,,1,1,1,1,1,1,0,
7,,0,1,1,1,0,1,0,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Solve rate,,0.428571428571429,0.714285714285714,0.714285714285714,0.857142857142857,0.714285714285714,0.571428571428571,0.142857142857143,0.591836734693877
Rank,,4,2,2,1,2,3,5,
,,,,,,,,,
Mean Solve rate,,0.714285714285714,0.476190476190476,0.761904761904762,0.809523809523809,0.714285714285714,0.714285714285714,0.333333333333333,
